id	category	feature	behavior	macos_evidence	windows_acceptance	status	windows_files	tests	evidence	adr
MCP-001	MCP	JSON-RPC stdio	Newline-delimited compact JSON and unbuffered output	Sources/ForgeConductorCore/MCP/MCPServer.swift	Golden protocol tests	passed	src/Mcp/McpProtocol.cpp; src/Mcp/WindowsStdioMcpTransport.cpp; src/Hosts/Cli/McpServeCompositionRoot.cpp	tests/Mcp/McpProtocolServerTests.cpp; tests/Mcp/McpStdioTransportTests.cpp; tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
MCP-002	MCP	Exact 53-tool list	All canonical tools and schemas	Sources/ForgeConductorCore/Application/Tools	Exact semantic snapshot	passed	src/Mcp/McpToolCatalog.cpp; src/Mcp/McpToolPackAdapter.cpp	tests/Mcp/McpCatalogCodecTests.cpp; tests/Mcp/McpToolContractMatrixTests.cpp; tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
MCP-003	MCP	Primary role	Independent server identity and health	Sources/ForgeConductorCore/MCP/MCPServer.swift	Role smoke	passed	src/Hosts/Cli/McpServeCompositionRoot.cpp; src/Mcp/McpServer.cpp	tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
MCP-004	MCP	Fallback role	Independent fallback identity and health	Sources/ForgeConductorCore/MCP/MCPServer.swift	Role smoke	passed	src/Hosts/Cli/McpServeCompositionRoot.cpp; src/Mcp/McpServer.cpp	tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
MCP-005	MCP	Transactional registration	Stage, backup, atomic commit, rollback	Sources/ForgeConductorCore/Telemetry/LMStudioMCPPluginInstaller.swift	Fault-injection tests	passed	src/Infrastructure/Windows/WindowsLMStudioDeploymentService.cpp; src/Infrastructure/Windows/LMStudioConfigurationCodec.cpp	tests/Application/LMStudioDeploymentServiceTests.cpp; tests/Infrastructure/LMStudioConfigurationCodecTests.cpp	.forge-codex/state/commands/20260827T164043279Z-b202ffac.json; .forge-codex/state/evidence/P15/g15-validation-summary.json; .forge-codex/state/evidence/P15/windows-lm-studio-real-host.json	.forge-codex/state/decisions/P15-001-evidence-based-lm-studio-deployment-and-maintenance-authority.md; .forge-codex/state/decisions/P15-004-lmstudio-configuration-file-object-transaction.md
MCP-006	MCP	Host revision synchronization	Deployment revision evidence	Sources/ForgeConductorCore/Telemetry/LMStudioDeployService.swift	Real host or fixture gate	passed	src/Infrastructure/Windows/WindowsLMStudioDeploymentService.cpp; src/Infrastructure/Windows/WindowsLMStudioHostActivator.cpp	tests/Application/LMStudioDeploymentServiceTests.cpp; tests/Infrastructure/WindowsLMStudioHostActivatorTests.cpp; tests/Infrastructure/WindowsLMStudioRealHostTests.cpp	.forge-codex/state/commands/20260827T164043279Z-b202ffac.json; .forge-codex/state/evidence/P15/g15-validation-summary.json; .forge-codex/state/evidence/P15/windows-lm-studio-real-host.json	.forge-codex/state/decisions/P15-001-evidence-based-lm-studio-deployment-and-maintenance-authority.md; .forge-codex/state/decisions/P15-003-lmstudio-preflight-runtime-environment-and-packaged-storage.md
MCP-007	MCP	Auto-heal	Detect and repair drift through typed boundary	Sources/ForgeConductorCore/Telemetry/LMStudioMCPPluginInstaller.swift	Repair tests	passed	src/Infrastructure/Windows/WindowsLMStudioDeploymentService.cpp	tests/Application/LMStudioDeploymentServiceTests.cpp; tests/Infrastructure/WindowsLMStudioRealHostTests.cpp	.forge-codex/state/commands/20260827T164043279Z-b202ffac.json; .forge-codex/state/evidence/P15/g15-validation-summary.json; .forge-codex/state/evidence/P15/windows-lm-studio-real-host.json	.forge-codex/state/decisions/P15-001-evidence-based-lm-studio-deployment-and-maintenance-authority.md; .forge-codex/state/decisions/P15-004-lmstudio-configuration-file-object-transaction.md
MCP-008	MCP	Independent serve verifier	Initialize/tools-list smoke	Sources/ForgeConductorCore/MCP/MCPServeVerifier.swift	Primary/fallback verifier	passed	src/Hosts/Cli/McpServeCompositionRoot.cpp; src/Mcp/McpProtocol.cpp; src/Mcp/WindowsStdioMcpTransport.cpp	tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-001	Tools	Filesystem tools	Read/write/edit/list/glob/mkdir/delete/move	Sources/ForgeConductorCore/Application/Tools/FilesystemToolPack.swift	Bounds and path auth	passed	src/Mcp/McpToolPackAdapter.cpp; src/NativeTools/Windows/WindowsFileSystem.cpp; src/NativeTools/Windows/WindowsPathGlobService.cpp	tests/Mcp/McpToolContractMatrixTests.cpp; tests/NativeTools/WindowsFileSystemSearchTests.cpp; tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-002	Tools	Git tools	status/diff/log/add/commit	Sources/ForgeConductorCore/Application/Tools/GitToolPack.swift	No shell composition	passed	src/Mcp/McpToolPackAdapter.cpp; src/NativeTools/Windows/WindowsGitService.cpp	tests/Mcp/McpToolContractMatrixTests.cpp; tests/NativeTools/WindowsGitShellTests.cpp; tests/NativeTools/WindowsGitShellIntegrationTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-003	Tools	Text search	Bounded recursive search	Sources/ForgeConductorCore/Application/Tools/SearchToolPack.swift	Native walker	passed	src/Mcp/McpToolPackAdapter.cpp; src/NativeTools/Windows/WindowsTextSearchService.cpp	tests/Mcp/McpToolContractMatrixTests.cpp; tests/NativeTools/WindowsFileSystemSearchTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-004	Tools	PDF tools	Write PDF and convert text file	Sources/ForgeConductorCore/Application/Tools/DocsToolPack.swift	Native PDF output	passed	src/Mcp/McpToolPackAdapter.cpp; src/NativeTools/Windows/WindowsPdfService.cpp	tests/Mcp/McpToolContractMatrixTests.cpp; tests/NativeTools/WindowsPdfServiceTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-005	Tools	Shell tool	Opt-in bounded shell execution	Sources/ForgeConductorCore/Application/Tools/ShellToolPack.swift	PowerShell/Job Object, disabled default	passed	src/Mcp/McpToolPackAdapter.cpp; src/NativeTools/Windows/WindowsShellService.cpp	tests/Mcp/McpToolContractMatrixTests.cpp; tests/NativeTools/WindowsGitShellTests.cpp; tests/NativeTools/WindowsGitShellIntegrationTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-006	Tools	Authorization	Workspace root and shell policy	Sources/ForgeConductorCore/Application/ToolAuthorizationService.swift	Negative security tests	passed	src/Mcp/McpToolRouter.cpp; src/Infrastructure/Windows/WindowsProjectWorkspaceAuthority.cpp; src/NativeTools/Windows/NativeToolValidation.h	tests/Infrastructure/WindowsProjectWorkspaceAuthorityTests.cpp; tests/NativeTools/WindowsWorkspaceAuthorityTests.cpp; tests/Mcp/McpServeProcessSnapshotTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-007	Tools	Audit	Sanitized args, status, duration, error	Sources/ForgeConductorCore/Infrastructure/AuditService.swift	Bounded retention	passed	src/Mcp/McpToolRouter.cpp; src/Persistence/Windows/WindowsAuditRepository.cpp	tests/Mcp/McpToolRouterTests.cpp; tests/Persistence/AuditRepositoryWindowsTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
TOOL-008	Tools	Identical-call loop protection	Checkpoint and hard block repeated loops	Sources/ForgeConductorCore/Application/ToolRouter.swift	Deterministic tests	passed	src/Mcp/McpInvocationGuard.cpp; src/Mcp/McpToolRouter.cpp	tests/Mcp/McpInvocationGuardTests.cpp; tests/Mcp/McpToolRouterTests.cpp	.forge-codex/state/commands/20260827T112918356Z-a8f5616a.json; .forge-codex/state/evidence/P14/mcp-tool-contract-matrix-checkpoint.json; .forge-codex/state/evidence/P14/dynamic-multi-project-workspace-authority-checkpoint.json	.forge-codex/state/decisions/P14-008-source-compatible-mcp-semantics-and-windows-extensions.md; .forge-codex/state/decisions/P14-009-dynamic-project-authority-and-private-execution-scopes.md
AGENT-001	Agents	Embedded catalog	Load built-in agent cards/playbooks	Sources/ForgeConductorCore/Application/AgentCatalog.swift	At least source-equivalent catalog	not_started				
AGENT-002	Agents	Recommend agent	Task-to-agent recommendation	Sources/ForgeConductorCore/Application/Tools/AgentToolPack.swift	Deterministic fixtures	not_started				
AGENT-003	Agents	Durable runs	Start/status/complete sessions	Sources/ForgeConductorCore/Application/AgentSessionService.swift	Crash/restart persistence	not_started				
MEM-001	Memory	Legacy memory set/get/list/delete/search	Backward-compatible global memory tools	Sources/ForgeConductorCore/Application/Tools/MemoryToolPack.swift	Schema/error parity	not_started				
MEM-002	Memory	Memory bounds	Key/body/tag/query limits	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	Limit tests	not_started				
PMEM-001	Project Memory	Multi-project identity	UUID, aliases, repository identity	Sources/ForgeConductorCore/Application/ProjectMemoryService.swift	No implicit newest-project selection	not_started				
PMEM-002	Project Memory	Per-project database isolation	Separate project stores	Sources/ForgeConductorCore/Infrastructure/ProjectMemoryRepository.swift	Cross-project negative tests	not_started				
PMEM-003	Project Memory	Initialize/remember/batch	Transactional writes and idempotency	Sources/ForgeConductorCore/Application/Tools/ProjectMemoryToolPack.swift	Contract tests	not_started				
PMEM-004	Project Memory	Search/get/recent	Deterministic bounded reads	Sources/ForgeConductorCore/Application/Tools/ProjectMemoryToolPack.swift	Pagination/order tests	not_started				
PMEM-005	Project Memory	Update/forget/link	Optimistic update, tombstone, typed link	Sources/ForgeConductorCore/Application/Tools/ProjectMemoryToolPack.swift	Conflict/idempotency tests	not_started				
PMEM-006	Project Memory	Export/import/status	Checksums, preview, health	Sources/ForgeConductorCore/Application/Tools/ProjectMemoryToolPack.swift	Round-trip/corruption tests	not_started				
PMEM-007	Project Memory	Redaction	Redact secrets/reject private keys	Sources/ForgeConductorCore/Application/ProjectMemoryService.swift	Security fixtures	not_started				
PMEM-008	Project Memory	Reset from Settings/CLI	Per-project and global scoped reset	Owner requirement	Transactional reset evidence	not_started				
CONT-001	Continuity	Legacy checkpoint/handoff/context tools	Backward-compatible handoff surface	Sources/ForgeConductorCore/Application/Tools/ContinuityToolPack.swift	Golden tests	not_started				
CONT-002	Continuity	Lifecycle tools	Seven continuity.* tools	Sources/ForgeConductorCore/Application/Tools/ContinuityLifecycleToolPack.swift	State-machine tests	not_started				
CONT-003	Continuity	Automatic checkpoints	Progress/time-based persistence	Sources/ForgeConductorCore/Application/ContinuityAutomation.swift	Budget tests	not_started				
CONT-004	Continuity	Automatic rollover	Context threshold creates successor	Sources/ForgeConductorCore/Application/ContinuityCoordinator.swift	End-to-end autonomous test	not_started				
CONT-005	Continuity	Native session host plugin	Create/bootstrap/ack/cancel/recover	Sources/ForgeNativeSessionHostPlugin/ForgeNativeSessionHostPlugin.swift	Crash/idempotency tests	not_started				
CONT-006	Continuity	Exact acknowledgment	Handoff/session/checksum match	Sources/ForgeConductorCore/Application/ContinuityCoordinator.swift	Wrong-ack negatives	not_started				
CONT-007	Continuity	Project isolation	Per-project active operation/session	Sources/ForgeConductorCore/Infrastructure/ProjectMemoryRepository.swift	Concurrent projects	not_started				
CONT-008	Continuity	Reset from Settings/CLI	Scoped continuity reset	Owner requirement	No memory loss when continuity-only	not_started				
MGR-001	Manager	Single dashboard owner	GUI attaches, manager listens	Sources/ForgeConductorCore/Manager/ManagerNode.swift	Port collision tests	not_started				
MGR-002	Manager	Startup installation	Per-user automatic manager start	Sources/ForgeConductorCore/Manager/ManagerInstaller.swift	Task registration tests	not_started				
MGR-003	Manager	Watchdog/restart	Health, recovery, bounded restart	Sources/ForgeConductorCore/Manager/ManagerNode.swift	Fault injection	passed	src/Hosts/Manager/ManagerTransitionWorker.cpp; src/Hosts/Manager/ManagerProcessRestartSignal.cpp; src/Hosts/Manager/WindowsManagerRuntime.cpp; src/Hosts/Manager/ManagerCompositionRoot.cpp	tests/Manager/WindowsManagerCompositionLifecycleTests.cpp; tests/Manager/ManagerTransitionWorkerTests.cpp; tests/Manager/ManagerProcessRestartSignalTests.cpp; tests/Manager/WindowsManagerRuntimeTests.cpp	.forge-codex/state/commands/20260830T203522380Z-255a4469.json; .forge-codex/state/evidence/P16/g16-validation-summary.json; .forge-codex/state/evidence/P16/g16-attempt.json; .forge-codex/state/evidence/P16/g16-LastTest.log; .forge-codex/state/evidence/P16/g16-attempt-history/6d7a192e9a2042759c6e857a4d0e440e/attempt.json; .forge-codex/state/evidence/P16/g16-attempt-history/6d7a192e9a2042759c6e857a4d0e440e/rollover.json; .forge-codex/state/evidence/P16/manager-terminal-pipe-transition-watchdog-checkpoint.json; .forge-codex/state/evidence/P16/manager-host-transition-lifecycle-checkpoint.json; .forge-codex/state/evidence/P16/dashboard-process-runtime-deferred-restart-checkpoint.json	.forge-codex/state/decisions/P16-020-process-owned-dashboard-runtime-and-deferred-restart-edge.md; .forge-codex/state/decisions/P16-021-production-manager-runtime-and-delivery-safe-shutdown.md; .forge-codex/state/decisions/P16-026-capacity-one-manager-transition-watchdog.md; .forge-codex/state/decisions/P16-027-manager-process-host-transition-lifecycle.md; .forge-codex/state/decisions/P16-038-hash-bound-g16-qualification-and-independent-finalization.md; .forge-codex/state/decisions/P16-039-windows-powershell-evidence-runner-compatibility.md
MGR-004	Manager	Typed client	GUI manager client	Sources/ForgeConductorCore/Manager/ManagerDashboardClient.swift	IPC compatibility	not_started				
DASH-001	Dashboard	Loopback dashboard	Operational/manager/telemetry routes	Sources/ForgeConductorCore/Dashboard	Token-auth loopback tests	not_started				
TEL-001	Telemetry	CPU metrics	Utilization/frequency availability	Sources/ForgeConductorCore/Telemetry/Collectors/CPUCollector.swift	Field mapping tests	not_started				
TEL-002	Telemetry	GPU metrics	Utilization/memory/availability	Sources/ForgeConductorCore/Telemetry/Collectors/GPUCollector.swift	Driver fallback tests	not_started				
TEL-003	Telemetry	RAM metrics	Used/available/pressure mapping	Sources/ForgeConductorCore/Telemetry/Collectors/RAMCollector.swift	Known-value tests	not_started				
TEL-004	Telemetry	Disk metrics	Volume and I/O	Sources/ForgeConductorCore/Telemetry/Collectors	Mapping tests	not_started				
TEL-005	Telemetry	Process metrics	LM Studio/Forge processes	Sources/ForgeConductorCore/Telemetry/Collectors/ProcessMetricsCollector.swift	Identity tests	not_started				
TEL-006	Telemetry	Latest-value delivery	Bounded coalescing mailbox	Sources/ForgeConductorCore/Telemetry/LatestValueMailbox.swift	Queue depth never exceeds one	not_started				
TEL-007	Telemetry	Bounded histories	Ring buffers/downsampling	Sources/ForgeConductorCore/Telemetry/Models	Stress tests	not_started				
GFX-001	Rendering	Shared graphics resources	One device/factory/cache service	Sources/ForgeConductorApp/Metal/MetalGaugeResources.swift	No per-gauge device	not_started				
GFX-002	Rendering	Render-on-demand	Visible/data-change bounded rendering	Sources/ForgeConductorApp/Metal	Idle GPU gate	not_started				
GFX-003	Rendering	Device-loss recovery	Recreate shared graph	Windows requirement	Fault injection	not_started				
DIAG-001	Diagnostics	Structured diagnostics	Categories, levels, bounded files, ETW	Sources/ForgeConductorCore/Infrastructure/DiagnosticLog.swift	Redaction/rotation tests	not_started				
DIAG-002	Diagnostics	Runtime ownership snapshot	Tasks/timers/processes/queues/databases	Sources/ForgeConductorCore/Infrastructure/RuntimeObservability.swift	Shutdown zero-owner gate	not_started				
SEC-001	Security	DPAPI secrets	Current-user protected secrets	Platform replacement	Round-trip and user-bound tests	not_started				
SEC-002	Security	Process Job Objects	Timeout/cancel process tree	Sources/ForgeConductorCore/Infrastructure/ProcessRunner.swift	Child-tree kill test	not_started				
SEC-003	Security	Authenticated IPC	Current-user named pipe and dashboard token	Windows requirement	Cross-user denial tests	not_started				
DATA-001	Data	macOS import	Config/store/projects/handoffs/sessions	macOS data layout docs	Dry-run/rollback/idempotency	not_started				
PKG-001	Packaging	MSIX package	Packaged WinUI app and executables	Owner requirement	Install on clean profile	not_started				
PKG-002	Packaging	Native setup EXE	Install/repair/update/uninstall/purge	Owner requirement	Lifecycle suite	not_started				
PKG-003	Packaging	Startup and CLI alias	Manager startup and execution alias	Owner requirement	Post-install smoke	not_started				
PKG-004	Packaging	Upgrade/data preservation	Transactional upgrade	Owner requirement	Previous-version fixture	not_started				
PKG-005	Packaging	x64/ARM64	x64 required, ARM64 when toolchain supports	Owner requirement	Build/package evidence	not_started				
PKG-006	Packaging	No Python/no attribution	Scanners pass	Owner requirement	Hard gate	not_started				
