id	category	feature	macos_evidence	windows_acceptance	status	windows_files	tests	evidence
CONT-007	Continuity	Project isolation	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-008	Continuity	Settings/CLI reset	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MGR-001	Manager	Single dashboard owner	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MGR-002	Manager	Startup installation	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MGR-003	Manager	Watchdog/restart	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MGR-004	Manager	Typed client	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
DASH-001	Dashboard	Loopback dashboard	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-001	Telemetry	CPU metrics	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-002	Telemetry	GPU metrics	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-003	Telemetry	RAM metrics	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-004	Telemetry	Disk metrics	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-005	Telemetry	Process metrics	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-006	Telemetry	Latest-value delivery	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TEL-007	Telemetry	Bounded histories	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
GFX-001	Rendering	Shared graphics resources	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
GFX-002	Rendering	Render-on-demand	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
GFX-003	Rendering	Device-loss recovery	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
DIAG-001	Diagnostics	Structured diagnostics	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
DIAG-002	Diagnostics	Runtime ownership snapshot	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
SEC-001	Security	DPAPI secrets	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
SEC-002	Security	Job Object process containment	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
SEC-003	Security	Authenticated IPC	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
DATA-001	Data	macOS import	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PKG-001	Packaging	MSIX package	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PKG-002	Packaging	Native setup EXE	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PKG-003	Packaging	Startup and CLI alias	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PKG-004	Packaging	Upgrade/data preservation	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PKG-005	Packaging	x64/ARM64	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PKG-006	Packaging	No Python/no attribution	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
