finding_id	tier	severity	finding	macos_path	line	windows_prevention	status	test_evidence	profile_evidence
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `missing` appends without an owner-local bound	Sources/ForgeConductorCore/Application/AgentSessionService.swift	198	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `snaps` appends without an owner-local bound	Sources/ForgeConductorCore/Application/ContextContinuityService.swift	436	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `merged` appends without an owner-local bound	Sources/ForgeConductorCore/Application/ContextContinuityService.swift	469	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ContextContinuityService owns/uses Task without an owner-local cleanup marker	Sources/ForgeConductorCore/Application/ContextContinuityService.swift	609	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `suffix` appends without an owner-local bound	Sources/ForgeConductorCore/Application/ToolAuthorizationService.swift	218	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ToolRouter owns/uses AsyncStream without an owner-local cleanup marker	Sources/ForgeConductorCore/Application/ToolRouter.swift	94	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	HandoffPacket owns/uses Task without an owner-local cleanup marker	Sources/ForgeConductorCore/Domain/HandoffPacket.swift	92	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	DashboardPortGuard owns/uses Process without an owner-local cleanup marker	Sources/ForgeConductorCore/Infrastructure/DashboardPortGuard.swift	103	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	DashboardPortGuard owns/uses Pipe/FileHandle without an owner-local cleanup marker	Sources/ForgeConductorCore/Infrastructure/DashboardPortGuard.swift	107	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `predicates` appends without an owner-local bound	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	279	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `out` appends without an owner-local bound	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	317	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `closed` appends without an owner-local bound	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	551	Bounded owner, explicit overflow/cancellation/cleanup, diagnostic high-water counters, targeted regression test.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPServer owns/uses Pipe/FileHandle without an owner-local cleanup marker	Sources/ForgeConductorCore/MCP/MCPServer.swift	33	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPStreamReader owns/uses Pipe/FileHandle without an owner-local cleanup marker	Sources/ForgeConductorCore/MCP/MCPServer.swift	482	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ManagerRuntime owns/uses Timer without an owner-local cleanup marker	Sources/ForgeConductorCore/Manager/ManagerRuntime.swift	18	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ManagerRuntime owns/uses DispatchSource without an owner-local cleanup marker	Sources/ForgeConductorCore/Manager/ManagerRuntime.swift	18	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPProcessFixture owns/uses Process without an owner-local cleanup marker	Tests/ForgeConductorTests/ContinuityTests.swift	1800	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPProcessFixture owns/uses Pipe/FileHandle without an owner-local cleanup marker	Tests/ForgeConductorTests/ContinuityTests.swift	1801	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ManagerTests owns/uses Task without an owner-local cleanup marker	Tests/ForgeConductorTests/ManagerTests.swift	265	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
